FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Summary Ratios
OCC Charter # 0			County: JACKSON			Summary Ratios--Page 1						7/23/2025 12:03:05 PM
Public Report
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022		
 Earnings and Profitability	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 4	PCT	BANK	PG 5	PCT	BANK	PG 5	PCT
 Percent of Average Assets:	
    Interest Income (TE)	8.57	5.24	98	11.23	5.12	99	10.36	5.27	98	11.20	4.72	99	13.63	3.68	99	
    - Interest Expense	0.63	1.97	1	0.56	2.07	1	0.80	2.13	2	0.22	1.39	0	0.03	0.38	0	
       Net Interest Income (TE)	7.94	3.28	98	10.67	3.07	99	9.56	3.15	99	10.98	3.33	99	13.60	3.30	99	
    + Noninterest Income	4.65	0.61	98	4.26	0.61	98	4.81	0.63	98	4.44	0.55	98	5.46	0.56	98	
    - Noninterest Expense	10.57	2.46	99	12.85	2.42	99	11.73	2.43	99	12.80	2.47	99	17.23	2.40	99	
       Pre-Provision Net Revenue (TE)	2.02	1.45	81	2.08	1.30	85	2.64	1.39	93	2.62	1.44	92	1.83	1.49	76	
    - Provision: Credit Losses	0.42	0.10	93	0.14	0.08	77	0.22	0.11	83	0.21	0.07	88	0.92	0.07	99	
    - Provision: Credit Loss Oth Assets	0.00	0.00	22	-0.02	0.00	18	0.01	0.00	82	0.02	0.00	87	N/A	0.00	N/A	
       Pretax Operating Income (TE)	1.60	1.34	69	1.95	1.19	86	2.41	1.25	93	2.39	1.35	91	0.91	1.42	13	
    + Realized Gains/Losses Sec	0.00	0.00	92	-0.04	0.00	6	-0.01	0.00	15	-0.03	-0.01	16	0.00	-0.01	86	
    + Unrealized Gains / Losses Equity Sec	0.01	0.00	93	-0.01	0.00	3	0.00	0.00	4	0.00	0.00	86	-0.03	0.00	1	
    Pretax Net Operating Income (TE)	1.61	1.34	70	1.91	1.19	83	2.40	1.25	93	2.36	1.33	91	0.88	1.41	13	
       Net Operating Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.12	85	0.66	1.18	9	
    Net Inc Attrib to Min Ints	0.00	0.00	98	0.00	0.00	98	0.00	0.00	97	0.00	0.00	98	0.00	0.00	99	
    Net Income Adjusted Sub S	1.19	1.04	65	1.41	0.93	81	1.85	0.97	93	1.76	1.04	89	0.66	1.09	10	
       Net Income	1.19	1.09	61	1.41	0.97	79	1.85	1.02	90	1.76	1.11	85	0.66	1.18	9	

 Margin Analysis:	
 Avg Earning Assets to Avg Assets	88.82	95.49	1	93.39	95.47	16	93.96	95.54	22	90.68	96.22	2	90.06	95.73	2	
 Avg Int-Bearing Funds to Avg Assets	43.95	72.53	1	58.67	72.50	9	54.49	72.64	4	54.70	69.44	6	60.94	67.86	24	
 Int Inc (TE) to Avg Earn Assets	9.64	5.49	98	12.03	5.38	99	11.03	5.53	98	12.35	4.91	99	15.13	3.86	99	
 Int Expense to Avg Earn Assets	0.71	2.07	1	0.60	2.17	1	0.86	2.23	2	0.24	1.44	1	0.04	0.39	0	
 Net Int Inc-TE to Avg Earn Assets	8.94	3.44	99	11.43	3.23	99	10.18	3.31	99	12.11	3.47	99	15.10	3.45	99	

 Loan & Lease Analysis:	
 Net Loss to Average Total LN&LS	0.31	0.07	89	0.02	0.06	55	0.20	0.09	83	0.32	0.04	93	0.01	0.02	54	
 Earnings Coverage of Net Losses (X)	12.49	146.31	27	166.88	108.66	78	20.74	91.38	40	11.28	131.02	19	400.67	226.96	80	
 ACL on LN&LS HFI to LN&LS HFI	0.89	1.21	13	0.73	1.22	6	0.80	1.20	9	0.66	1.28	4	0.50	1.31	1	
 ACL on LN&LS HFI to Net Losses (X)	2.38	87.86	11	36.37	76.43	53	3.61	59.02	14	2.02	80.61	3	85.51	122.38	66	
 ACL on LN&LS HFI to Nonaccrual LN&LS (X)	1.44	6.66	28	0.81	8.91	5	1.32	7.34	22	0.74	12.13	5	1.02	13.54	9	
 30-89 Days Past Due	3.31	0.48	99	4.20	0.39	99	4.67	0.39	99	6.12	0.38	99	7.45	0.31	99	
 Total LN&LS-90+ Days PD & Nonaccrual	1.83	0.60	91	2.61	0.46	98	1.98	0.57	93	2.26	0.38	95	1.59	0.34	92	
 Non-Curr Lns+OREO to Lns+OREO	1.83	0.66	90	2.72	0.51	98	1.98	0.63	92	2.38	0.42	95	1.95	0.39	94	

 Liquidity	
 Net Non Core Fund Dep New $250M	-27.93	8.96	1	4.73	10.91	29	-21.49	10.02	3	18.28	7.24	80	24.01	2.61	94	
 Net Loans & Leases to Assets	45.77	70.60	3	64.92	69.83	31	47.83	70.94	4	73.46	66.18	65	75.06	64.01	72	
 Net Loans & Leases to Deposits	52.07	82.61	3	77.77	82.95	35	54.71	83.32	3	89.90	78.03	72	90.95	73.79	78	

 Capitalization	
 Leverage Ratio	7.7114	10.40	1	9.9272	10.25	47	8.4411	10.31	7	10.0115	10.50	46	10.1909	10.20	55	
 Total Capital Ratio	27.5210	14.56	98	28.1489	14.47	98	25.3911	14.46	96	25.6081	15.55	94	21.9188	15.49	90	
 Cash Dividends to Net Income	0.00	30.28	37	0.00	27.68	40	0.00	36.24	18	0.00	38.88	15	0.00	33.97	16	
 Non-Curr Lns+OREO to T1 Capital+ACL	11.06	4.06	90	18.22	3.17	98	11.91	3.96	91	16.62	2.44	97	14.57	2.19	97	

 Growth Rates	
 Total Assets	67.02	5.42	99	7.55	5.58	65	69.66	5.05	99	14.43	4.89	88	10.69	3.95	79	
 Tier 1 Capital	29.65	7.17	96	18.51	7.68	90	28.35	7.02	97	18.35	6.80	93	38.30	9.39	95	
 Net Loans & Leases	17.76	6.19	91	6.89	8.79	40	10.47	6.43	75	12.00	8.88	69	3.62	13.02	15	
 Short Term Investments	149.99	25.04	91	15.09	42.18	47	489.59	33.19	97	46.34	44.54	61	-21.24	-38.88	70	
 Short Term Non Core Funding	66.39	7.26	90	-43.48	55.51	4	159.31	11.91	97	-53.97	105.75	1	-12.91	69.06	23	


 Average Total Assets		1,688,049			1,025,836			1,186,136			930,316			799,662				
 Net Income		5,042			3,617			21,973			16,371			2,196				


 Number of banks in Peer Group		515			519			521			512			502				



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			Income Statement $
OCC Charter # 0			County: JACKSON			Income Statement $--Page 2						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			1 Year
 Interest and Fees on Loans		29,166			25,638			105,886			95,507			43,899			13.76	
 Income From Lease Financing		0			0			0			0			0			N/A	
    Tax-Exempt		0			0			0			0			0			N/A	
    Estimated Tax Benefit		0			0			0			0			0			N/A	
       Income on Loans & Leases (TE)		29,166			25,638			105,886			95,507			43,899			13.76	

 US Treas & Agency (Excl MBS)		628			372			1,902			862			131			68.82	
 Mortgage Backed Securities		800			143			1,623			764			329			459.44	
    Estimated Tax Benefit		11			11			45			41			13			0.00	
 All Other Securities		150			226			576			1,109			424			-33.63	
    Tax-Exempt Securities Income		42			42			169			156			50			0.00	
 Investment Interest Income (TE)		1,589			752			4,146			2,776			897			111.28	

 Interest on Due From Banks		5,386			2,403			12,853			5,854			879			124.14	
 Int on Fed Funds Sold & Resales		0			0			0			0			0			N/A	
 Trading Account Income		N/A			N/A			N/A			N/A			N/A			N/A	
 Other Interest Income		9			9			45			29			13			0.00	

    Total Interest Income (TE)		36,150			28,802			122,930			104,166			45,688			25.51	

 Int on Deposits in Foreign Off		N/A			N/A			N/A			N/A			N/A			N/A	
 Interest on Domestic Deposits		2,643			1,236			9,156			1,991			115			113.83	
 Int on Fed Funds Purch & Repos		0			0			0			0			0			N/A	
 Int Trad Liab & Oth Borrowings		N/A			N/A			N/A			N/A			N/A			N/A	
 Int on Sub Notes & Debentures		N/A			N/A			N/A			N/A			N/A			N/A	
 Other Interest Expense		0			197			373			14			0			-100.00	

    Total Interest Expense		2,643			1,433			9,529			2,005			115			84.44	

    Net Interest Income (TE)		33,507			27,369			113,401			102,161			45,573			22.43	
 Non-interest Income		19,609			10,920			57,008			41,277			18,311			79.57	
    Adjusted Operating Income (TE)		53,116			38,289			170,409			143,438			63,884			38.72	

 Non-Interest Expense		44,589			32,961			139,115			119,079			57,750			35.28	
    Pre-Provision Net Revenue (TE)		8,527			5,328			31,294			24,359			6,134			60.04	
 Provision: Credit Losses		1,771			366			2,603			1,909			3,076			383.88	
 Provision: Credit Losses Other Assets		-6			-47			91			201			N/A			N/A	
    Pretax Operating Income (TE)		6,762			5,009			28,600			22,249			3,058			35.00	

 Realized G/L Hld-to-Maturity Sec		0			0			0			0			0			N/A	
 Realized G/L Avail-for Sale Sec		0			-93			-93			-312			0			N/A	
 Unrealized G/L Equity Securities		33			-24			-26			32			-111			N/A	
    Pretax Net Operating Inc (TE)		6,795			4,892			28,481			21,969			2,947			38.90	

 Applicable Income Taxes		1,742			1,264			6,463			5,557			738			37.82	
 Current Tax Equiv Adjustment		11			11			45			41			13			0.00	
 Other Tax Equiv Adjustments		0			0			0			0			0			N/A	
    Applicable Income Taxes (TE)		1,753			1,275			6,508			5,598			751			37.49	

    Net Operating Income		5,042			3,617			21,973			16,371			2,196			39.40	

 Net Discontinued / Extraordinary Items		0			0			0			0			0			N/A	
 Net Inc Noncontrolling Minority Interests		0			0			0			0			0			N/A	
    Net Income		5,042			3,617			21,973			16,371			2,196			39.40	

 Cash Dividends Declared		0			0			0			0			0			N/A	
 Retained Earnings		5,042			3,617			21,973			16,371			2,196			39.40	
 Memo: Net International Income		N/A			N/A			N/A			N/A			N/A			N/A	
 Memo: Interest on Time Dep Over Ins Limit		1			16			26			28			11			-93.75	



FDIC Certificate # 8283			FRB District/ID_RSSD 10 / 893855			LEAD BANK			KANSAS CITY, MO			QTR Income Statement $
OCC Charter # 0			County: JACKSON			QTR Income Statement --Page 2A						7/23/2025 12:03:06 PM
Public Report
																	Percent Change
		3/31/2025			3/31/2024			12/31/2024			12/31/2023			12/31/2022			Prior Year QTR
 Interest and Fees on Loans		29,166			25,638			28,528			25,559			27,849			13.76	
 Income From Lease Financing		0			0			0			0			0			N/A	
    Tax-Exempt		0			0			0			0			0			N/A	
    Estimated Tax Benefit		0			0			0			0			0			N/A	
       Income on Loans & Leases (TE)		29,166			25,638			28,528			25,559			27,849			13.76	

 US Treas & Agency (Excl MBS)		628			372			587			372			81			68.82	
 Mortgage Backed Securities		800			143			624			172			192			459.44	
    Estimated Tax Benefit		11			11			11			11			8			0.00	
 All Other Securities		150			226			139			251			344			-33.63	
    Tax-Exempt Securities Income		42			42			42			42			30			0.00	
 Investment Interest Income (TE)		1,589			752			1,361			806			625			111.28	

 Interest on Due From Banks		5,386			2,403			4,984			1,821			598			124.14	
 Int on Fed Funds Sold & Resales		0			0			0			0			0			N/A	
 Trading Account Income		N/A			N/A			N/A			N/A			N/A			N/A	
 Other Interest Income		9			9			11			8			6			0.00	

    Total Interest Income (TE)		36,150			28,802			34,884			28,194			29,078			25.51	

 Int on Deposits in Foreign Off		N/A			N/A			N/A			N/A			N/A			N/A	
 Interest on Domestic Deposits		2,643			1,236			3,012			800			75			113.83	
 Int on Fed Funds Purch & Repos		0			0			0			0			0			N/A	
 Int Trad Liab & Oth Borrowings		N/A			N/A			N/A			N/A			N/A			N/A	
 Int on Sub Notes & Debentures		N/A			N/A			N/A			N/A			N/A			N/A	
 Other Interest Expense		0			197			28			14			0			-100.00	

    Total Interest Expense		2,643			1,433			3,040			814			75			84.44	

    Net Interest Income (TE)		33,507			27,369			31,844			27,380			29,003			22.43	
 Non-interest Income		19,609			10,920			19,909			10,394			10,813			79.57	
    Adjusted Operating Income (TE)		53,116			38,289			51,753			37,774			39,816			38.72	

 Non-Interest Expense		44,589			32,961			39,534			30,621			35,578			35.28	
    Pre-Provision Net Revenue (TE)		8,527			5,328			12,219			7,153			4,238			60.04	
 Provision: Credit Losses		1,771			366			1,055			1,105			2,860			383.88	
 Provision: Credit Losses Other Assets		-6			-47			-73			166			N/A			N/A	
    Pretax Operating Income (TE)		6,762			5,009			11,237			5,882			1,378			35.00	

 Realized G/L Hld-to-Maturity Sec		0			0			0			0			0			N/A	
 Realized G/L Avail-for Sale Sec		0			-93			0			0			0			N/A	
 Unrealized G/L Equity Securities		33			-24			-67			91			4			N/A	
    Pretax Net Operating Inc (TE)		6,795			4,892			11,170			5,973			1,382			38.90	

 Applicable Income Taxes		1,742			1,264			2,314			1,416			415			37.82	
 Current Tax Equiv Adjustment		11			11			11			11			8			0.00	
 Other Tax Equiv Adjustments		0			0			0			0			0			N/A	
    Applicable Income Taxes (TE)		1,753			1,275			2,325			1,427			423			37.49	

    Net Operating Income		5,042			3,617			8,845			4,546			959			39.40	

 Net Discontinued / Extraordinary Items		0			0			0			0			0			N/A	
 Net Inc Noncontrolling Minority Interests		0			0			0			0			0			N/A	
    Net Income		5,042			3,617			8,845			4,546			959			39.40	

